MAKE IT BETTER,BEGINNER,3,14,14,9,0,0,BASIC,7,31,29,47,0,3,DIFFICULT,9,41,39,27,0,13,EXPERT,12,46,39,54,0,19
PARANOiA,BEGINNER,4,29,22,5,0,0,BASIC,8,56,44,18,0,4,DIFFICULT,9,58,52,49,0,6,EXPERT,11,67,52,25,0,17
TRIP MACHINE,BEGINNER,3,25,26,5,0,0,BASIC,8,47,40,14,0,4,DIFFICULT,9,52,40,30,0,7,EXPERT,10,56,53,36,0,12
AM-3P,BEGINNER,3,19,16,3,0,0,BASIC,7,43,32,34,0,6,DIFFICULT,8,51,32,34,0,14,EXPERT,11,64,48,41,0,34
BRILLIANT 2U,BEGINNER,3,25,25,9,0,0,BASIC,6,43,43,12,0,2,DIFFICULT,6,46,43,63,0,2,EXPERT,10,59,50,56,0,20,CHALLENGE,10,69,50,45,0,35
BRILLIANT 2U(Orchestra Groove),BEGINNER,4,26,25,3,0,0,BASIC,6,43,43,21,0,3,DIFFICULT,8,49,50,49,0,12,EXPERT,9,60,43,27,0,22,CHALLENGE,12,81,50,43,0,37
e-motion,BEGINNER,2,15,17,16,0,0,BASIC,5,29,23,21,0,0,DIFFICULT,6,36,35,34,0,3,EXPERT,8,40,41,63,0,7
GENOM SCREAMS,BEGINNER,3,21,18,9,0,0,BASIC,6,43,25,74,0,0,DIFFICULT,8,51,37,27,0,9,EXPERT,11,60,50,63,0,17
KEEP ON MOVIN',BEGINNER,4,15,10,25,0,0,BASIC,5,34,27,29,0,0,DIFFICULT,7,43,38,27,0,7,EXPERT,9,57,43,20,0,18
PARANOiA KCET ～clean mix～,BEGINNER,4,26,30,0,0,0,BASIC,8,55,44,60,0,4,DIFFICULT,9,58,44,69,0,6,EXPERT,11,74,52,30,0,19,CHALLENGE,15,109,82,58,16,79
PARANOiA MAX～DIRTY MIX～,BEGINNER,5,31,31,9,0,0,BASIC,9,60,55,43,0,5,DIFFICULT,10,64,63,60,0,9,EXPERT,12,76,63,67,0,19
PUT YOUR FAITH IN ME,BEGINNER,3,16,15,3,0,0,BASIC,5,29,30,1,0,0,DIFFICULT,6,33,30,12,0,2,EXPERT,9,47,34,7,0,16
PUT YOUR FAITH IN ME (Jazzy Groove),BEGINNER,2,17,15,3,0,0,BASIC,6,38,30,7,0,4,DIFFICULT,7,43,34,18,0,12,EXPERT,9,54,40,5,0,22,CHALLENGE,11,60,55,47,51,70
SP-TRIP MACHINE～JUNGLE MIX～,BEGINNER,4,19,26,18,0,0,BASIC,8,48,40,14,0,9,DIFFICULT,9,54,46,21,0,13,EXPERT,10,61,53,29,0,21
AFRONOVA,BEGINNER,5,25,33,0,0,0,BASIC,7,51,50,56,0,1,DIFFICULT,9,58,50,74,0,5,EXPERT,13,89,66,78,0,31
AFTER THE GAME OF LOVE,BEGINNER,1,8,8,9,0,0,BASIC,2,15,17,0,0,0,DIFFICULT,6,36,26,16,0,5,EXPERT,8,44,34,29,0,13
