MAKE IT BETTER	67/0	143/0	188/0	212/0	-	130/0	181/0	220/0	-
PARANOiA	138/0	264/0	275/0	319/0	-	254/0	309/0	382/0	-
TRIP MACHINE	106/0	191/0	211/0	230/0	-	201/0	215/0	264/0	-
AM-3P	74/0	164/0	195/0	244/0	-	166/0	194/0	240/0	-
BRILLIANT 2U	95/0	162/0	176/0	225/0	264/0	165/0	180/0	227/0	229/8
BRILLIANT 2U(Orchestra Groove)	100/0	166/0	187/0	226/0	309/0	171/0	187/0	236/0	324/0
e-motion	54/0	99/0	122/0	133/0	-	110/0	136/0	154/17	-
GENOM SCREAMS	84/0	169/0	205/0	238/0	-	195/0	225/0	272/7	-
KEEP ON MOVIN'	51/0	110/0	140/0	183/0	-	113/0	162/0	164/0	-
MAKE IT BETTER (So-REAL Mix)	90/0	159/0	191/0	208/0	237/10(29)	135/0	185/0	237/0	192/22(29)
PARANOiA KCET ～clean mix～	124/0	262/0	278/0	351/0	499/12	261/0	289/0	351/0	424/6
PARANOiA MAX～DIRTY MIX～	142/0	268/0	288/0	340/0	-	274/0	311/0	363/0	-
PUT YOUR FAITH IN ME	70/0	128/0	145/0	203/0	-	135/0	147/0	170/0	-
PUT YOUR FAITH IN ME (Jazzy Groove)	67/0	149/0	167/0	208/0	230/12	149/0	180/0	197/0	234/7
SP-TRIP MACHINE～JUNGLE MIX～	79/0	194/0	217/0	245/0	-	198/0	227/0	250/0	-
AFRONOVA	108/0	214/0	244/0	370/0	-	233/0	245/0	357/0	-
AFTER THE GAME OF LOVE	41/0	72/0	168/0	207/0	-	114/0	167/0	207/0	-
CUTIE CHASER	82/0	148/0	185/0	256/0	-	148/0	186/0	254/0	-
DEAD END	115/0	216/0	337/0	410/0	-	274/0	298/0	455/0	-
DROP THE BOMB	122/0	199/0	238/0	304/0	-	199/0	237/0	299/0	-
DYNAMITE RAVE	110/0	188/0	269/0	398/0	362/6	217/0	250/0	331/0	327/0
GRADIUSIC CYBER ～AMD G5 MIX～	98/0	265/0	310/0	370/0	-	266/0	308/0	368/0	-
La Señorita	125/0	241/0	255/0	294/0	-	181/0	293/0	420/0	-
La Señorita Virtual	121/0	270/0	334/0	359/0	-	240/0	298/0	358/0	-
LOVE THIS FEELIN'	76/0	210/0	225/0	242/0	-	214/0	227/0	241/0	-
PARANOiA Rebirth	117/0	280/0	322/0	433/0	-	281/0	321/0	423/0	-
Silent Hill	85/0	117/0	202/0	265/0	-	165/0	206/0	268/0	-
think ya better D	84/0	148/0	177/0	237/0	-	172/0	194/0	274/0	-
TRIP MACHINE～luv mix～	97/0	209/0	251/0	293/0	-	209/0	251/0	303/0	-
B4U	104/0	188/0	238/0	325/0	-	191/0	225/0	301/0	-
BABY BABY GIMME YOUR LOVE	52/0	62/0	110/0	163/0	-	80/0	107/0	176/0	-
BURNIN' THE FLOOR	114/0	177/0	244/0	309/0	-	189/0	238/0	296/0	-
CAN'T STOP FALLIN' IN LOVE	93/0	160/0	235/0	328/0	-	182/0	224/0	299/0	-
CELEBRATE NITE	92/0	171/0	198/0	277/0	-	178/0	208/0	238/0	-
Don't Stop!～AMD 2nd MIX～	92/0	156/0	189/0	214/0	-	113/0	174/0	221/0	-
DROP OUT	110/0	200/0	296/0	397/0	-	175/0	296/0	378/0	-
era (nostalmix)	89/0	125/0	235/0	356/0	-	142/0	217/0	331/0	-
HIGHER	106/0	140/0	214/0	246/0	-	159/0	230/0	279/0	-
Holic	103/0	189/0	228/0	313/0	-	198/0	232/0	336/0	-
HYSTERIA	119/0	224/0	251/0	303/0	-	158/0	279/0	286/0	-
LEADING CYBER	94/0	193/0	258/0	359/0	-	185/0	258/0	357/0	-
LOVE AGAIN TONIGHT～For Melissa Mix～	122/0	191/0	234/0	306/0	-	180/0	235/0	281/0	-
MY SUMMER LOVE	65/0	117/0	189/0	260/0	-	119/0	186/0	244/0	-
ORION.78(AMeuro-MIX)	60/0	101/0	170/0	320/0	-	113/0	184/0	261/0	-
PARANOIA EVOLUTION	144/0	278/0	287/0	375/0	-	224/0	274/0	320/0	-
SEXY PLANET	75/0	201/0	221/0	262/0	-	175/0	207/0	236/0	-
SUPER STAR	84/0	195/0	229/0	289/0	-	157/0	195/0	262/0	-
TRIP MACHINE CLIMAX	114/0	195/0	275/0	342/0	-	211/0	273/0	338/0	-
WILD RUSH	112/0	153/0	192/0	247/0	-	184/0	240/0	242/0	-
.59	90/0	157/0	234/0	275/0	-	173/0	226/0	281/0	-
サナ・モレッテ・ネ・エンテ	73/0	128/0	190/0	294/0	-	128/0	225/0	269/0	-
ABSOLUTE	123/0	142/0	252/0	311/0	-	135/0	215/0	303/0	-
Abyss	117/0	168/0	234/0	309/0	-	171/0	233/0	309/0	-
AFRONOVA PRIMEVAL	158/0	272/0	322/0	423/0	-	287/0	332/0	437/0	-
BROKEN MY HEART	123/0	215/0	267/0	360/0	-	217/0	273/0	353/0	-
CAN'T STOP FALLIN' IN LOVE ～SPEED MIX～	133/0	238/0	321/0	443/0	-	241/0	323/0	432/0	-
DXY!	108/0	157/0	269/0	355/0	-	205/0	277/0	334/0	-
ECSTASY	119/0	169/0	235/0	276/0	-	183/0	235/0	296/0	-
Electro Tuned ( the SubS Mix )	101/0	179/0	268/0	349/0	-	168/0	248/0	305/0	-
Healing Vision	107/0	128/0	272/0	353/0	-	136/0	275/0	358/0	-
