0,MAKE IT BETTER,-,-,-,944340,-,-,-,-,-
1,PARANOiA,-,-,833480,933020,-,-,-,-,-
2,TRIP MACHINE,-,836940,-,968810,-,-,-,-,-
3,AM-3P,-,-,-,957130,-,-,-,-,-
4,BRILLIANT 2U,-,-,-,952890,968760,-,-,-,-
5,BRILLIANT 2U(Orchestra Groove),-,-,-,955840,845540,-,-,-,-
6,e-motion,-,-,-,963380,-,-,-,-,-
7,GENOM SCREAMS,-,-,754980,924190,-,-,-,-,-
8,KEEP ON MOVIN',-,-,746380,986330,-,-,-,-,-
9,PARANOiA KCET ～clean mix～,-,-,-,936550,827220,-,-,-,-
10,PARANOiA MAX～DIRTY MIX～,-,-,-,796970,-,-,-,-,-
11,PUT YOUR FAITH IN ME,-,-,-,957780,-,-,-,-,-
12,SP-TRIP MACHINE～JUNGLE MIX～,-,-,-,908340,-,-,-,-,-
13,AFRONOVA,-,-,934990,898780,-,-,-,-,-
14,AFTER THE GAME OF LOVE,-,-,-,964470,-,-,-,-,-
15,CUTIE CHASER,-,-,-,952890,-,-,-,-,-
16,DEAD END,-,-,896160,963550,-,-,827030,-,-
17,DROP THE BOMB,-,-,-,972750,-,-,-,-,-
18,DYNAMITE RAVE,-,-,828940,846490,870250,-,-,-,-
19,GRADIUSIC CYBER ～AMD G5 MIX～,-,-,-,878110,-,-,-,-,-
20,La Señorita,-,-,-,955290,-,-,-,-,-
21,La Señorita Virtual,-,-,-,927690,-,-,-,-,-
22,LOVE THIS FEELIN',-,-,-,888920,-,-,-,-,-
23,PARANOiA Rebirth,-,-,-,700920,-,-,-,-,-
24,Silent Hill,-,-,-,917220,-,-,-,-,-
25,think ya better D,-,-,-,955330,-,-,-,-,-
26,TRIP MACHINE～luv mix～,-,-,-,958620,-,-,-,-,-
27,.59,-,-,-,-,-,-,-,-,-
28,B4U,-,729640,-,953150,-,-,-,-,-
29,BABY BABY GIMME YOUR LOVE,-,-,-,-,-,-,-,-,-
30,BURNIN' THE FLOOR,-,-,893100,961260,-,-,-,-,-
31,CAN'T STOP FALLIN' IN LOVE,-,-,-,-,-,-,-,-,-
32,CELEBRATE NITE,-,-,-,890960,-,-,-,-,-
33,Don't Stop!～AMD 2nd MIX～,-,-,-,-,-,-,-,-,-
34,DROP OUT,-,-,-,904850,-,-,-,-,-
35,era (nostalmix),-,-,830990,930090,-,-,-,-,-
36,HIGHER,-,-,-,-,-,-,-,-,-
37,Holic,-,882540,904120,965610,-,-,-,-,-
38,HYSTERIA,-,-,-,-,-,-,-,-,-
39,LEADING CYBER,-,-,-,-,-,-,-,-,-
40,LOVE AGAIN TONIGHT～For Melissa MIX～,-,-,-,-,-,-,-,-,-
41,MY SUMMER LOVE,-,-,-,-,-,-,-,-,-
42,ORION.78(AMeuro-MIX),-,-,-,-,-,-,-,-,-
43,PARANOIA EVOLUTION,-,-,-,778470,-,-,-,-,-
44,SEXY PLANET,-,-,-,-,-,-,-,-,-
45,SUPER STAR,-,-,-,-,-,-,-,-,-
46,TRIP MACHINE CLIMAX,-,-,-,758110,-,-,-,-,-
47,WILD RUSH,-,-,-,-,-,-,-,-,-
48,ABSOLUTE,-,-,-,932550,-,-,-,-,-
49,Abyss,-,-,710200,957270,-,-,-,-,-
50,AFRONOVA PRIMEVAL,-,-,-,780100,-,-,-,-,-
51,BROKEN MY HEART,-,-,-,963760,-,-,-,-,-
52,CAN'T STOP FALLIN' IN LOVE ～SPEED MIX～,-,-,-,915900,-,-,-,-,-
53,DXY!,-,781020,823010,917790,-,-,-,-,-
54,ECSTASY,-,-,-,953930,-,-,-,-,-
55,Electro Tuned ( the SubS Mix ),-,-,-,885830,-,-,-,-,-
56,Healing Vision,-,-,-,920160,-,-,-,-,-
57,INSERTiON,-,-,-,772220,-,-,-,-,-
58,PARANOiA ETERNAL,-,-,-,819980,-,-,-,-,-
59,STILL IN MY HEART,-,-,-,951340,-,-,-,-,-
60,サナ・モレッテ・ネ・エンテ,-,-,-,961610,-,-,-,-,-
61,CANDY☆,891700,-,-,-,-,-,-,-,-
62,exotic ethnic,-,-,-,-,-,-,-,-,-
63,Healing Vision ～Angelic mix～,-,873440,-,927420,-,-,-,-,-
64,Let the beat hit em!(CLASSIC R&B STYLE),-,-,-,997640,-,-,-,-,-
65,MAX 300,-,918240,956250,862550,-,774850,-,-,-
66,ORION.78～civilization mix～,-,-,-,674270,-,-,-,-,-
